intent,snippet
sorting python list based on the length of the string,"xs.sort(lambda x, y: cmp(len(x), len(y)))"
how to get the concrete class name as a string?,instance.__class__.__name__
pythonic way to filter list for elements with unique length,list({len(s): s for s in jones}.values())
convert numbers to grades in python list,"li = map(lambda x: '{0} - {1}'.format(x, grade(x)), s)"
python: create list of tuples from lists,"z = zip(x, y)"
building up an array in numpy/scipy by iteration in python?,"array([0, 1, 4, 9, 16])"
"check if  dictionary `d` contains all keys in list `['somekey', 'someotherkey', 'somekeyggg']`","all(word in d for word in ['somekey', 'someotherkey', 'somekeyggg'])"
convert list of tuples to multiple lists in python,"map(list, zip(*[(1, 2), (3, 4), (5, 6)]))"
"list all "".txt"" files of a directory ""/home/adam/""",print(glob.glob('/home/adam/*.txt'))
5 maximum values in a python dictionary,"max(A, key=A.get)"
"in python, how to join a list of tuples into one list?",b = [i for sub in a for i in sub]
index the first and the last n elements of a list,l[:3] + l[-3:]
equivalent of j in numpy,np.array([1j])
how to check if string has the same characters in python,len(set('aaaa')) == 1
list comprehension that produces integers between 11 and 19,[i for i in range(100) if i > 10 if i < 20]
how to add a new row to an empty numpy array,"arr = np.append(arr, np.array([[4, 5, 6]]), axis=0)"
adding values from tuples of same length,"coord = tuple(sum(x) for x in zip(coord, change))"
how to check if a column exists in pandas,df['sum'] = df['A'] + df['C']
python print array with new line,print('\n'.join(op))
how to avoid python/pandas creating an index in a saved csv?,"pd.to_csv('your.csv', index=False)"
how to remove multiple columns that end with same text in pandas?,"df.select(lambda x: re.search('prefix$', str(x)) is None, axis=1)"
what pandas data type is passed to transform or apply in a groupby,"df.groupby(['category'])[['data_1', 'data_2']].transform(f)"
divide the values of two dictionaries in python,{k: (float(d2[k]) / d1[k]) for k in d2}
check if all values of iterable are zero,list(l) == [0] * len(l)
"check if ""blah"" is in string `somestring`","if ('blah' not in somestring):
    pass"
how to convert a list of multiple integers into a single integer?,"x = [1, 3, 5]"
reverse string 'foo',''.join(reversed('foo'))
how to merge two dataframe in pandas to replace nan,"a.where(~np.isnan(a), other=b, inplace=True)"
how do i add space between two variables after a print in python,print(str(count) + '  ' + str(conv))
how to convert a hex string to hex number,print(hex(new_int)[2:])
python json encoding,"json.dumps({'apple': 'cat', 'banana': 'dog', 'pear': 'fish'})"
extract values not equal to 0 from numpy array `a`,a[a != 0]
splitting a string based on a certain set of words,"re.split('_(?:for|or|and)_', 'sad_pandas_and_happy_cats_for_people')"
pandas: best way to select all columns starting with x,"df.filter(regex='^foo\\.', axis=1)"
how to write text on a image in windows using python opencv2,"cv2.putText(image, 'Hello World!!!', (x, y), cv2.FONT_HERSHEY_SIMPLEX, 2, 255)"
pandas: check if row exists with certain values,((df['A'] == 1) & (df['B'] == 2)).any()
get `3` unique items from a list,"random.sample(list(range(1, 16)), 3)"
python convert list to dictionary,"dict([['two', 2], ['one', 1]])"
get the canonical path of file `path`,os.path.realpath(path)
split a list into parts based on a set of indexes in python,"[[0, 1, 2, 3, 4], [5, 6, 7, 8, 9, 10, 11], [12, 13, 14, 15, 16], [17, 18, 19]]"
count occurrences of number by column in pandas data frame,(df == 1).sum()
convert list of dictionaries `l` into a flat dictionary,dict(pair for d in L for pair in list(d.items()))
subset of dictionary keys,{v[0]: data[v[0]] for v in list(by_ip.values())}
calculating difference between two rows in python / pandas,data.set_index('Date').diff()
add column sum as new column in pyspark dataframe,"newdf = df.withColumn('total', sum(df[col] for col in df.columns))"
"reorder indexed rows `['z', 'c', 'a']` based on a list in pandas data frame `df`","df.reindex(['Z', 'C', 'A'])"
return rows of data associated with the maximum value of column 'value' in dataframe `df`,df.loc[df['Value'].idxmax()]
set index equal to field 'trx_date' in dataframe `df`,df = df.set_index(['TRX_DATE'])
how to merge two columns together in pandas,"pd.melt(df, id_vars='Date')[['Date', 'value']]"
pandas: how to run a pivot with a multi-index?,"df.groupby(['year', 'month', 'item'])['value'].sum().unstack('item')"
drop column based on a string condition,"df.drop(df.columns[df.columns.str.match('chair')], axis=1)"
add leading zeros to strings in pandas dataframe,df['ID'] = df['ID'].apply(lambda x: '{0:0>15}'.format(x))
"add row `['8/19/2014', 'jun', 'fly', '98765']` to dataframe `df`","df.loc[len(df)] = ['8/19/2014', 'Jun', 'Fly', '98765']"
plotting categorical data with pandas and matplotlib,df.colour.value_counts().plot(kind='bar')
how to sort pandas data frame using values from several columns?,"df.sort(['c1', 'c2'], ascending=[False, True])"
python pandas dataframe slicing by date conditions,df.sort_index()
python pandas - how to flatten a hierarchical index in columns,df.columns = df.columns.get_level_values(0)
python pandas: replace values multiple columns matching multiple columns from another dataframe,"df2.rename(columns={'OCHR': 'chr', 'OSTOP': 'pos'}, inplace=True)"
replace rarely occurring values in a pandas dataframe,g = df.groupby('column_name')
how to replace values with none in pandas data frame in python?,"df.replace('-', np.nan)"
create new columns in pandas from python nested lists,"df.A.apply(lambda x: pd.Series(1, x)).fillna(0).astype(int)"
how to flatten a pandas dataframe with some columns as json?,"df[['id', 'name']].join([A, B])"
how to do pearson correlation of selected columns of a pandas data frame,"df.corr().iloc[:-1, (-1)]"
append to file 'test1' content 'koko',"with open('test1', 'ab') as f:
    pass"
merge column  'word' in dataframe `df2` with column 'word' on dataframe `df1`,"df1.merge(df2, how='left', on='word')"
read pandas data frame csv `comma.csv` with extra commas in column specifying string delimiter `'`,"df = pd.read_csv('comma.csv', quotechar=""'"")"
"how to duplicate rows in pandas, based on items in a list",df['data'] = df['data'].apply(clean_string_to_list)
reading gps rinex data with pandas,"df.set_index(['%_GPST', 'satID'])"
"search for ""does-not-contain"" on a dataframe in pandas",~df['col'].str.contains(word)
how to group dataframe by a period of time?,"df.groupby([df['Source'], pd.TimeGrouper(freq='Min')])"
select dataframe rows between two dates,df['date'] = pd.to_datetime(df['date'])
pandas create new column based on values from other columns,"df.apply(lambda row: label_race(row), axis=1)"
pandas: best way to select all columns starting with x,df.columns.map(lambda x: x.startswith('foo'))
how to extract tuple values in pandas dataframe for use of matplotlib?,"pd.pivot(index=df['B1'], columns=df.index, values=df['B2']).plot()"
pandas remove column by index,"df = df.ix[:, 0:2]"
rename index of a pandas dataframe,"df.ix['c', '3']"
pandas subtract a row from dataframe `df2` from dataframe `df`,"pd.DataFrame(df.values - df2.values, columns=df.columns)"
compare two columns using pandas,df2 = df.astype(float)
combining rows in pandas,df.reset_index().groupby('city_id').sum()
pandas + dataframe - select by partial string,df[df['A'].str.contains('hello')]
get a list of all the duplicate items in dataframe `df` using pandas,"pd.concat(g for _, g in df.groupby('ID') if len(g) > 1)"
create new column `a_perc` in dataframe `df` with row values equal to the value in column `a` divided by the value in column `sum`,df['A_perc'] = df['A'] / df['sum']
python pandas - how to flatten a hierarchical index in columns,pd.DataFrame(df.to_records())
"how to use applymap, lambda and dataframe together to filter / modify dataframe in python?",df.fillna('o')
convert column of date objects in pandas dataframe to strings,df['A'].apply(lambda x: x.strftime('%d%m%Y'))
how to give a pandas/matplotlib bar graph custom colors,"df.plot(kind='bar', stacked=True, color=my_colors)"
how to swap a group of column headings with their values in pandas,"df = df.assign(a5=['Foo', 'Bar', 'Baz'])"
dropping a single (sub-) column from a multiindex,"df.drop('a', level=1, axis=1)"
select all rows in dataframe `df` where the values of column 'columnx' is bigger than or equal to `x` and smaller than or equal to `y`,df[(x <= df['columnX']) & (df['columnX'] <= y)]
how to sort a dataframe in python pandas by two or more columns?,"df.sort_values(['a', 'b'], ascending=[True, False])"
pandas groupby: how to get a union of strings,"df.groupby('A')['C'].apply(lambda x: '{%s}' % ', '.join(x))"
combining rows in pandas,df.groupby(df.index).sum()
concatenate dataframe `df_1` to dataframe `df_2` sorted by values of the column 'y',"pd.concat([df_1, df_2.sort_values('y')])"
calcuate mean for selected rows for selected columns in pandas data frame,"df[['b', 'c']].iloc[[2, 4]].mean(axis=0)"
python pandas - how to flatten a hierarchical index in columns,[' '.join(col).strip() for col in df.columns.values]
pandas: joining items with same index,"df.assign(id=df.groupby([0]).cumcount()).set_index(['id', 0]).unstack(level=1)"
pandas to_csv call is prepending a comma,df.to_csv('c:\\data\\t.csv')
replacing 'abc' and 'ab' values in column 'brandname' of dataframe `df` with 'a',"df['BrandName'].replace(['ABC', 'AB'], 'A')"
how can i replace all the nan values with zero's in a column of a pandas dataframe,df.fillna(0)
python pandas write to sql with nan values,"df2 = df.astype(object).where(pd.notnull(df), None)"
python pandas identify duplicated rows with additional column,"df.groupby(['PplNum', 'RoomNum']).cumcount() + 1"
extract dictionary values by key 'feature3' from data frame `df`,feature3 = [d.get('Feature3') for d in df.dic]
append string 'str' at the beginning of each value in column 'col' of dataframe `df`,df['col'] = 'str' + df['col'].astype(str)
filter pyspark dataframe column with none value,df.filter('dt_mvmt is NULL')
how to deal with settingwithcopywarning in pandas?,"df.ix[0, 'a'] = 3"
convert rows in pandas data frame `df` into list,"df.apply(lambda x: x.tolist(), axis=1)"
apply multiple functions to multiple groupby columns,df.groupby('GRP').agg(f)
access index of last element in data frame,df['date'][df.index[-1]]
pandas: selection with multiindex,df[pd.Series(df.index.get_level_values('A')).isin(vals[vals['values']].index)]
replace nan values in a pandas data frame with the average of columns,"df.apply(lambda x: x.fillna(x.mean()), axis=0)"
remove dollar sign '$' from second to last column data in dataframe 'df' and convert the data into floats,"df[df.columns[1:]].replace('[\\$,]', '', regex=True).astype(float)"
how to group dataframe by a period of time?,df.groupby(df.index.map(lambda t: t.minute))
how to append rows in a pandas dataframe in a for loop?,print('{}\n'.format(df))
python numpy: cannot convert datetime64[ns] to datetime64[d] (to use with numba),df['month_15'].astype('datetime64[D]').tolist()
find numeric columns in pandas (python),df._get_numeric_data()
pandas subtract dataframe with a row from another dataframe,"pd.DataFrame(df.values - df2.values, columns=df.columns)"
flatten a dataframe df to a list,df.values.flatten()
convert float series into an integer series in pandas,"df.resample('1Min', how=np.mean)"
pandas - make a column dtype object or factor,df['col_name'] = df['col_name'].astype('category')
pandas groupby: how to get a union of strings,df.groupby('A')['B'].agg(lambda col: ''.join(col))
adding up all columns in a dataframe,df['sum'] = df.sum(axis=1)
